pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible
14.0,29.884617729885655,817.6771677776112,5844.172004685334,True
25.0,24.52141962260851,1000.0,6171.386873772439,True
25.0,24.52141962260851,967.2728335996013,6245.95189418033,True
14.253050254070189,29.200534229880414,986.2415320188704,5948.260742207198,True
18.19562532603287,27.01967566731155,970.1905579293019,6018.278673727919,True
14.833498987600462,28.126252120941658,885.3012491336676,6104.621887825073,True
13.921623872544984,29.99731112085536,630.5122732978305,6447.671839496964,True
15.617087426624295,29.887306609030293,817.6771677776112,5823.334729782265,True
17.44912652621478,25.054079658952414,1000.0,6365.442874477398,True
18.19562532603287,26.810663741585703,970.1905579293019,6091.792609203534,True
13.921623872544984,29.99731112085536,634.747013345301,6446.836574796848,True
24.99695699545448,29.467339959472298,967.2728335996013,5830.85752035272,True
18.0,28.99845734183993,853.9577058051451,6060.704862037314,True
14.256291083342607,30.0,684.3946709043455,6225.604813601272,True
18.282796496396266,30.0,1000.0,5634.047955219773,True
18.19562532603287,27.01967566731155,970.7882141142047,6018.078736785261,True
18.0,27.24198190279322,986.7491763365863,6162.960769957185,True
19.249984308956925,32.98606300242391,564.8948715929082,6211.969790525022,True
18.010116435526548,27.118579044292026,872.9615993632539,6035.146362338528,True
14.06281662761537,32.570375500600164,876.0905099105494,5834.744187370667,True
14.31766918274992,27.44543783272988,988.3198809647985,6008.373600870084,True
14.293592771049594,26.83675143609473,994.4120351627776,5947.5291288856615,True
13.913556806873059,29.99356137910733,547.3752275200189,6508.385487026577,True
18.06998416001122,29.252333472374115,620.8968097650713,6623.744084360072,True
14.059890062587003,32.57687219978687,918.0397496832245,5828.451253294614,True
18.342734276439366,29.78399323362927,997.1633622911836,5696.508758525893,True
14.256291083342607,28.246895173243416,993.3766317489133,6134.811565673342,True
14.293592771049594,29.99815700320131,561.153736538773,6268.836957924851,True
16.25717577693212,32.95497431321454,538.5270164911902,6625.151847045334,True
14.188154525444554,30.08526007719071,564.9367064579685,6382.167090998205,True
16.110385236909,29.01079996951393,866.8921300662289,5978.105729386715,True
16.018302950703827,29.778699778882444,960.4063706486386,5980.392281771278,True
18.064718917723116,29.081854291821415,663.5895644035362,6285.479087653345,True
15.91346202378821,29.695008022748052,568.7130481123123,6434.397089470139,True
18.0,27.24198190279322,988.9743974701657,6161.6149612922145,True
18.0,27.333518832278106,977.1268776629181,6165.609976589109,True
18.141564806696987,34.83041044233381,529.9342980105772,6785.60948344101,True
14.929627479778784,29.04214417268148,996.9206848544106,5930.201421723875,True
16.227784933634258,34.54567251407275,765.4924576514888,6163.02557340597,True
14.284914203134228,29.820743583214405,930.1254758985231,6004.846877037481,True
16.11675737388273,29.157931236594102,563.7079406709313,6640.498473385124,True
16.018302950703827,29.778699778882444,963.674697785849,5975.81969551484,True
16.239864993634278,29.771234686285528,963.6752697453037,5957.013657381068,True
14.256291083342607,29.784911478749827,561.3971881760788,6300.114944577041,True
14.58773070764931,29.081854291821415,950.3257417204247,6058.520693342734,True
16.23715617163224,28.814125889770253,998.8116226522768,5939.885730645681,True
14.675867957821936,29.03867780422984,999.891590403538,5930.246499369331,True
19.43308030179332,29.51413694196128,610.5458094790521,6600.169540536843,True
14.25770198826639,29.985572947396157,994.6745526725578,5823.301933242081,True
14.23996064509598,29.121657212232826,928.2633668169684,6045.7016499045,True
16.23715617163224,28.843452916065303,993.0071195070465,6004.919387941712,True
16.079741664982116,29.157931236594102,979.2913551946165,5984.401831178966,True
14.267704860134309,30.000430072977796,687.6171562580927,6224.01384556869,True
16.079741664982116,29.157931236594102,979.3827629258307,5980.10928507544,True
16.079741664982116,28.454792611041952,999.891320856939,5942.761586673904,True
