x0,x1,x2,x3,x4,x5,x6,x7,pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible,failure_reason,unmet_kWh,rh_violation_hours,battery_soc_min,pcm_soc_min,pcm_candidate,pcm_transition_C,pcm_conductivity_W_mK,pcm_usable_enthalpy_J_kg,pcm_leakage_pct,pcm_cycle_retention_500,pcm_cost_INR_kg,pcm_data_status
12.19156559,34.2154772,737.68303909,7.85535984,8.17220098,10.32555479,6560.00778947,38.22802563,12.191565590737097,34.21547719935097,737.6830390905748,6556.883944912034,False,POST_SIM_CONSTRAINT,36.144533587985364,16.0,0.2,0.11239177553062141,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
8.22526722,34.63478594,830.8141034,5.51850849,9.13210872,11.33374155,6433.43639376,25.11408851,8.225267215217954,34.63478593782658,830.8141034026729,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
4.35117925,19.30071836,980.11888941,4.9982566,9.98574367,12.19904446,4883.52938356,37.15007712,4.351179254342918,19.300718358245284,980.1188894128217,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
4.35337298,13.40877672,999.31811763,4.83502757,10.79235617,14.47956408,10254.32136774,28.90953266,4.353372978284473,13.40877672458483,999.3181176267562,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
11.616634,27.58445232,318.53918423,6.12769066,6.97483656,12.67903608,4148.58617846,16.67520598,11.616633998214816,27.58445232208796,318.53918423278066,10000.0,False,ROOM_T_LIMIT,,0,0.2504273436590812,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
15.80308339,16.02084259,854.15934391,7.23595612,10.89013348,16.25305172,8416.41102983,18.62846807,15.803083392093898,16.02084258533457,854.1593439132384,6748.0231303042365,False,POST_SIM_CONSTRAINT,96.19060134488637,82.0,0.2,0.25163882286489325,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
7.02406038,26.23852351,493.41910987,3.93893783,4.36789745,8.44769753,4726.18845051,26.10916239,7.024060375404411,26.238523509293273,493.41910986660696,10000.0,False,ROOM_T_LIMIT,,0,0.23669642286057752,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
19.55983352,24.17084532,724.55566345,3.23831908,7.43571316,15.59285026,4407.11984913,21.56973534,19.559833518001337,24.170845317589155,724.5556634488837,6181.62320583589,False,POST_SIM_CONSTRAINT,5360.589253233138,8.0,0.2,0.052364941449331126,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
4.41651705,6.53759791,451.517506,5.90255113,7.70592029,18.38330144,5849.92597957,10.64391629,4.416517054868675,6.5375979093945045,451.51750599933774,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
21.35069028,5.917255,365.09439486,9.74227202,10.02692335,10.72995884,4189.60957457,21.6019172,21.350690282194467,5.9172549965807555,365.09439486355984,7051.3131588393,False,POST_SIM_CONSTRAINT,727.8698623398536,648.0,0.2,0.0,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
